Index,Avg Regret,Std Regret,Avg Edit Distance,Std Edit Distance
500,0.011224345489428253,0.007342263422470258,0.3,0.7681145747868608
1000,0.008584705391644496,0.005532568315287567,0.28,0.7493997598078078
1500,0.006745241884091866,0.004837500511363927,0.22,0.7426977851050858
2000,0.005735886579500882,0.004108810728614335,0.24,0.708801805866774
2500,0.004581664136895115,0.0037072623159126934,0.18,0.6384355879804947
3000,0.004089223289739494,0.0035504410374798015,0.24,0.708801805866774
3500,0.004584158787781581,0.0034702624317033003,0.22,0.6867313885355758
4000,0.003796638439147677,0.0028285285814389073,0.16,0.6118823416311342
4500,0.003866848097800357,0.003033371888626738,0.16,0.6118823416311342
5000,0.003407600871601748,0.0024240070734856587,0.14,0.5834380858325928
