agents,utilities
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('SHUCT' / 'UCT')","1.0;-1.0"
"('SHUCT' / 'UCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","1.0;-1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
"('UCT' / 'SHUCT')","-1.0;1.0"
