Index,Avg Regret,Std Regret,Avg Edit Distance,Std Edit Distance
100,-0.00024720822463193654,0.03159011237639589,0.4,0.8944271909999159
600,-0.0003212342493852588,0.013749028443325545,0.28,0.7493997598078078
1100,0.00039800881453479057,0.009593924019187306,0.3,0.8185352771872451
1600,-0.0007066891142988813,0.008667953550230202,0.22,0.6867313885355759
2100,-0.0002693868892786355,0.007566583033127406,0.2,0.6633249580710799
2600,0.0006568751859162835,0.006075078562094451,0.2,0.6633249580710799
3100,-5.458372479608488e-05,0.006444996316529874,0.2,0.6633249580710798
3600,0.000434538797500431,0.005933018534796322,0.24,0.7088018058667741
4100,0.000612038785732312,0.006203971308924816,0.2,0.6633249580710799
4600,0.00017888899858443559,0.0053122721108133375,0.16,0.6118823416311342
5100,0.00016971440959506485,0.00538203834887449,0.2,0.6633249580710799
5600,0.00046604335251141743,0.004081585747051775,0.18,0.6384355879804948
6100,-0.0007654024215844388,0.004915985241194665,0.16,0.6118823416311341
